#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-09T15:37:59 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-09T15:37:59	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/253/7&tab:{J/ApJS/253/7/table11}&key:source=J/ApJS/253/7/table11&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/253/7/table11
#-order=I
#-out=Cat
#-out=FName
#-out=m_PName
#-out=OName
#-out=f_FName
#-out=r_FName
#-out=SpTO
#-out=f_SpTO
#-out=r_SpTO
#-out=SpTIR
#-out=r_SpTIR
#-out=u_plx
#-out=plx
#-out=e_plx
#-out=pmtot
#-out=e_pmtot
#-out=AS
#-out=AS-flags
#-out=Teff
#-out=e_Teff
#-out=Note
#-out=PName
#-out=SimbadName
#-out=_RA
#-out=_DE
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=unlimited	

#RESOURCE=yCat_22530007
#Name: J/ApJS/253/7
#Title: A full-sky census of brown dwarfs within 20pc (Kirkpatrick+, 2021)
#INFO	ivoid=ivo://cds.vizier/j/apjs/253/7	
#INFO	publisher=CDS	
#INFO	creator=Kirkpatrick J.D.	
#INFO	related_resource=bibcode:2021ApJS..253....7K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/253/7	
#INFO	publication_date=2023-10-24	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_ApJS_253_7_table11:
#Name: J/ApJS/253/7/table11
#Title: The full-sky 20-pc census of L, T, and Y dwarfs (known as of 2020 Oct)
#Column	Cat	(A7)	Catalog used for FName if any	[ucd=instr.setup;meta.table]
#Column	FName	(A19)	Full name, position-based identifier	[ucd=meta.id;meta.main]
#Column	m_PName	(A2)	Component ID on object	[ucd=meta.code.multip]
#Column	OName	(a21)	Other name	[ucd=meta.id]
#Column	f_FName	(A1)	Cross identification flags for Table A1 (1)	[ucd=meta.code]
#Column	r_FName	(a7)	Discovery Reference(s) (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTO	(a12)	Optical spectral type	[ucd=src.spType]
#Column	f_SpTO	(A1)	Flag on SpTO (2)	[ucd=meta.code]
#Column	r_SpTO	(A3)	Reference(s) for SpTO (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	SpTIR	(a14)	Near-IR spectral type	[ucd=src.spType]
#Column	r_SpTIR	(a7)	Reference(s) for SpTIR (see refs.dat file)	[ucd=meta.ref;pos.frame]
#Column	u_plx	(A1)	[:u ] Uncertainty flag (3)	[ucd=meta.code.error;pos.parallax]
#Column	plx	(F8.4)	[37.1/501.6]? Absolute parallax	[ucd=pos.parallax.trig]
#Column	e_plx	(F7.4)	[0.019/21.4]? Uncertainty in plx	[ucd=stat.error;pos.parallax]
#Column	pmtot	(F7.2)	[11.7/8151.6]? Total proper motion	[ucd=pos.pm]
#Column	e_pmtot	(F5.2)	[0.1/99.7]? Uncertainty in pmtot	[ucd=stat.error]
#Column	AS	(a6)	Source of the astrometry (see refs.dat file)	[ucd=meta.bib]
#Column	AS-flags	(A1)	Flags on astrometry (4)	[ucd=meta.code]
#Column	Teff	(I4)	[250/2338]? Effective surface temperature	[ucd=phys.temperature.effective]
#Column	e_Teff	(I3)	[10/198]? Uncertainty in Teff	[ucd=stat.error;phys.temperature.effective]
#Column	Note	(a7)	Special note(s) (5)	[ucd=meta.note]
#Column	PName	(A9)	Short name position code for object (HHMM+DDMM; J2000) as in other tables; column added by CDS	[ucd=meta.id]
#Column	SimbadName	(a28)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Positions from Simbad or names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from Simbad or names (declination part)	[ucd=pos.eq.dec;meta.main]
Cat;FName;m_PName;OName;f_FName;r_FName;SpTO;f_SpTO;r_SpTO;SpTIR;r_SpTIR;u_plx;plx;e_plx;pmtot;e_pmtot;AS;AS-flags;Teff;e_Teff;Note;PName;SimbadName;_RA;_DE
WISEA  ;J162341.27-740230.4;  ;                     ; ;158    ;            ; ;   ;L9~(sl.~red)  ;158    ; ; 50.6000; 3.1000; 413.20; 3.70;0     ; ;1202; 88;       ;1623-7402;WISEA J162341.27-740230.4   ;245.92321;-74.04073
SDSSp  ;J162414.37+002915.6;  ;                     ; ;55     ;T6          ; ;197;T6            ;61     ; ; 91.8000; 1.2000; 373.00; 1.60;76,1  ; ; 936; 78;       ;1624+0029;SDSSp J162414.37+002915.6   ;246.05986;+00.48773
WISEPA ;J162725.64+325525.5;A ;                     ; ;4      ;            ; ;   ;[T6]          ;4      ; ; 54.4000; 1.9000; 351.60; 0.80;1     ; ; 965; 79;       ;1627+3255;WISEP J162725.64+325525.5   ;246.85721;+32.92469
WISEPA ;J162725.64+325525.5;B:;                     ; ;4      ;            ; ;   ;[T6]          ;4      ; ; 54.4000; 1.9000; 351.60; 0.80;1     ; ; 965; 79;       ;1627+3255;WISEP J162725.64+325525.5   ;246.85721;+32.92469
SDSS   ;J162838.77+230821.1;  ;                     ; ;53     ;            ; ;   ;T7            ;53     ; ; 75.1000; 0.9000; 605.20; 0.80;67    ; ; 815; 88;       ;1628+2308;SDSS J162838.77+230821.1    ;247.16062;+23.14005
2MASS  ;J16291840+0335371  ;  ;PSO J247.3273+03.5932; ;99     ;T3          ; ;214;T2            ;8      ; ; 81.2000; 3.0000; 276.30; 1.60;0     ; ;1193; 88;       ;1629+0335;2MASS J16291840+0335371     ;247.32670;+03.59364
CWISE  ;J163041.79-064338.3;  ;                     ; ;0      ;            ; ;   ;T5            ;0      ;:; 55.3000;       ; 580.00;28.60;0     ; ;1125; 79;       ;1630-0643;CWISE J163041.79-064338.3   ;247.67414;-06.72734
SDSS   ;J163022.92+081822.0;  ;                     ; ;53     ;            ; ;   ;T5.5          ;53     ; ; 55.8000; 3.4000; 124.40; 1.40;0     ; ; 970; 88;       ;1630+0818;SDSS J163022.92+081822.0    ;247.59566;+08.30616
2MASSW ;J1632291+190441    ;  ;                     ; ;139    ;L8          ; ;139;L7            ;124    ; ; 66.2900; 1.6100; 297.90; 0.30;172   ; ;1279; 81;       ;1632+1904;2MASSW J1632291+190441      ;248.12131;+19.07798
WISEA  ;J163932.75+184049.4;  ;                     ; ;233    ;            ; ;   ;[T9.5]        ;233    ; ; 61.9000; 4.7000; 547.90;12.80;0     ; ; 511; 79;       ;1639+1840;WISEA J163932.75+184049.4   ;249.88642;+18.68029
WISE   ;J163940.86-684744.6;  ;                     ; ;17     ;            ; ;   ;Y0pec         ;9      ; ;219.6000; 2.3000;3160.80; 1.60;0     ; ; 412; 88;       ;1639-6847;WISE J163940.86-684744.6    ;249.92029;-68.79571
2MASSW ;J1645221-131951    ;  ;                     ; ;135    ;L1.5        ; ;135;              ;       ; ; 88.8220; 0.1444; 885.70; 0.30;168   ; ;2013; 88;       ;1645-1319;2MASSW J1645221-131951      ;251.34205;-13.33118
CWISE  ;J165013.37+565257.0;  ;                     ; ;0      ;            ; ;   ;T0            ;0      ;:; 68.1000;       ; 115.40; 5.90;0     ; ;1254; 79;       ;1650+5652;CWISE J165013.37+565257.0   ;252.55493;+56.88235
WISEPA ;J165311.05+444423.9;  ;                     ; ;4      ;T8          ; ;4  ;T8            ;4      ; ; 75.7000; 1.9000; 405.30; 2.90;0     ; ; 696; 88;       ;1653+4444;WISEP J165311.05+444423.9   ;253.29604;+44.73969
2MASSW ;J1658037+702701    ;  ;                     ; ;142    ;L1          ; ;142;              ;       ; ; 54.1172; 0.2058; 344.90; 0.50;168   ; ;2181; 62;       ;1658+7027;2MASSW J1658037+702701      ;254.51584;+70.45047
DENIS-P;J170548.38-051645.7;  ;                     ; ;137    ;L0.5        ; ;117;L1            ;124    ; ; 52.6734; 0.3516; 167.60; 0.70;168   ; ;2125; 88;       ;1705-0516;DENIS-P J170548.3-051645    ;256.45146;-05.27954
2MASS  ;J17065487-1314396  ;  ;                     ; ;176    ;            ; ;   ;L5~pec        ;176    ; ; 51.4814; 0.5128; 188.20; 1.20;168   ; ;1736; 88;       ;1706-1314;2MASS J17065487-1314396     ;256.72859;-13.24443
2MASS  ;J17072343-0558249  ;B ;                     ; ;156    ;            ; ;   ;L3            ;156    ; ; 85.0112; 0.4386;  89.20; 0.70;168   ; ;1671; 88;       ;1707-0558;WDS J17074-0558B            ;256.84830;-05.97343
WISE   ;J170745.85-174452.5;  ;                     ; ;8      ;            ; ;   ;T5:           ;8      ; ; 86.0000; 2.8000; 173.50; 1.30;0     ; ; 780; 88;       ;1707-1744;WISE J170745.85-174452.5    ;256.94058;-17.74762
Gaia   ;J171340.47-395211.8;  ;                     ;f;220    ;[L0.5]      ; ;220;              ;       ; ; 51.4479; 0.2749; 305.90; 0.50;168   ; ;2105; 88;       ;1713-3952;Gaia DR2 5972124644679705728;258.41867;-39.86996
2MASSI ;J1721039+334415    ;  ;                     ; ;115    ;L3          ; ;115;L5+/-1~(blue) ;132    ; ; 61.3203; 0.2050;1947.60; 0.50;168   ; ;1840; 88;       ;1721+3344;2MASSI J1721039+334415      ;260.26514;+33.73804
WISE   ;J172134.46+111739.4;  ;                     ; ;8      ;            ; ;   ;T6            ;8      ; ; 50.4000; 2.9000; 160.60; 2.60;0     ; ;1001; 88;       ;1721+1117;WISE J172134.46+111739.4    ;260.39375;+11.29387
CWISE  ;J172617.09-484424.9;  ;                     ; ;0      ;            ; ;   ;T2.5          ;0      ;:; 90.6000;       ; 200.00; 7.10;0     ; ;1209; 79;       ;1726-4844;CWISE J172617.09-484424.9   ;261.57201;-48.73953
VVV    ;J172640.2-273803   ;  ;                     ; ;157    ;            ; ;   ;L5+/-1~(blue) ;157    ; ; 53.9938; 0.3612; 634.80; 0.70;168   ; ;2050; 88;       ;1726-2738;VVV BD001                   ;261.66933;-27.63330
2MASS  ;J17312974+2721233  ;  ;                     ; ;117    ;L0          ; ;117;L0            ;112    ; ; 83.7364; 0.1182; 268.50; 0.30;168   ; ;2190; 88;       ;1731+2721;2MASS J17312974+2721233     ;262.87393;+27.35646
DENIS-P;J1733423-165449    ;  ;                     ; ;129    ;L1.0        ; ;129;L0.9          ;106    ; ; 55.3156; 0.3564;  80.90; 0.80;168   ; ;1977; 88;       ;1733-1654;DENIS-P J1733423-165449     ;263.42615;-16.91392
LSPM   ;J1735+2634         ;B ;                     ; ;215    ;            ; ;   ;L0:           ;180    ; ; 64.7000; 0.8000; 352.50; 0.80;67,180; ;2274; 88;       ;1735+2634;LSPM J1735+2634             ;263.80404;+26.57974
WISEA  ;J173551.56-820900.3;  ;                     ; ;6      ;            ; ;   ;T6            ;6      ; ; 76.1000; 3.2000; 368.00; 2.30;0     ; ; 804; 88;       ;1735-8209;WISEA J173551.56-820900.3   ;263.96551;-82.15003
WISEPA ;J173835.53+273258.9;  ;                     ; ;10     ;            ; ;   ;Y0            ;10     ; ;130.9000; 2.1000; 481.20; 1.10;0     ; ; 450; 88;       ;1738+2732;WISEP J173835.53+273258.9   ;264.64806;+27.54975
WISE   ;J174102.78-464225.5;  ;                     ; ;114    ;            ; ;   ;L6-8~{gamma}  ;175    ; ; 50.5000; 2.9000; 357.70; 3.00;0     ; ;1145;197;yng    ;1741-4642;WISE J174102.78-464225.5    ;265.26169;-46.70607
WISEPA ;J174124.26+255319.5;  ;                     ; ;4,33,56;T9          ; ;4  ;T9            ;4      ; ;214.3000; 2.8000;1556.90; 1.30;1     ; ; 570; 88;       ;1741+2553;WISEP J174124.25+255319.5   ;265.35259;+25.89288
WISE   ;J174303.71+421150.0;  ;                     ; ;8      ;            ; ;   ;T4.5          ;8      ; ; 59.2000; 3.3000; 514.50; 1.80;0     ; ;1068; 88;       ;1743+4211;WISE J174303.71+421150.0    ;265.76531;+42.19884
DENIS-P;J1745346-164053    ;  ;                     ; ;129    ;L1.5        ; ;129;L1.3          ;106    ; ; 51.0274; 0.2957; 146.60; 0.60;168   ; ;2019; 88;       ;1745-1640;DENIS-P J1745346-164053     ;266.39444;-16.68165
2MASS  ;J17502484-0016151  ;  ;                     ; ;111    ;L5          ; ;214;L5.5          ;111    ; ;108.2676; 0.2552; 443.70; 0.60;168   ; ;1600; 88;       ;1750-0016;2MASS J17502484-0016151     ;267.60338;-00.27083
WISEA  ;J175328.55-590447.6;  ;                     ; ;233    ;            ; ;   ;[T8.5]        ;TBD    ; ; 60.2000; 3.7000; 332.60;13.70;0     ; ; 624; 79;       ;1753-5904;WISEA J175328.55-590447.6   ;268.36875;-59.07988
2MASS  ;J17534518-6559559  ;  ;                     ; ;117    ;L4          ; ;117;              ;       ; ; 63.8219; 0.3244; 346.00; 0.60;168   ; ;1751; 88;       ;1753-6559;2MASS J17534518-6559559     ;268.43827;-65.99880
2MASS  ;J17545447+1649196  ;  ;                     ; ;71     ;T5.5        ; ;214;T5.5          ;124    ; ; 74.0000; 3.1000; 190.10; 4.40;0     ; ; 987; 88;       ;1754+1649;2MASS J17545447+1649196     ;268.72697;+16.82213
WISE   ;J175510.28+180320.2;  ;                     ; ;8      ;            ; ;   ;T2            ;8      ; ; 53.6000; 3.1000; 421.50; 1.80;0     ; ;1235; 88;       ;1755+1803;WISE J175510.28+180320.2    ;268.79425;+18.05564
SDSS   ;J175805.46+463311.9;  ;GJ 4040B             ; ;57     ;            ; ;   ;T6.5          ;61     ; ; 71.4754; 0.0354; 578.50; 0.10;168   ;a; 901; 88;       ;1758+4633;SDSS J175805.46+463311.9    ;269.52273;+46.55275
WISE   ;J180001.15-155927.2;  ;                     ; ;160    ;L4.5        ; ;155;L4.5          ;149    ; ; 80.8967; 0.3389; 296.20; 0.80;168   ; ;1778; 88;       ;1800-1559;WISEA J180001.15-155927.2   ;270.00487;-15.98999
WISEP  ;J180026.60+013453.1;  ;                     ; ;162    ;L7.5        ; ;216;L7.5          ;162    ; ;127.4450; 0.6642; 424.40; 2.00;168   ; ;1291; 88;       ;1800+0134;WISEP J180026.60+013453.1   ;270.11033;+01.58247
WISEPA ;J180435.40+311706.1;  ;                     ; ;4      ;            ; ;   ;T9.5:         ;4      ; ; 62.2000; 2.7000; 254.10; 1.30;0     ; ; 578; 88;       ;1804+3117;WISEP J180435.40+311706.1   ;271.14739;+31.28513
2MASSI ;J1807159+501531    ;  ;                     ; ;109    ;L1.5        ; ;115;L1            ;109    ; ; 68.3317; 0.1280; 139.10; 0.40;168   ; ;2065; 88;       ;1807+5015;2MASSI J1807159+501531      ;271.81641;+50.25879
WISE   ;J180901.07+383805.4;  ;                     ; ;41     ;            ; ;   ;T7.5          ;8      ; ; 52.4000; 2.3000; 778.00; 3.40;237   ; ; 780; 88;       ;1809+3838;WISE J180901.07+383805.4    ;272.25447;+38.63484
WISEPA ;J181210.85+272144.3;  ;                     ; ;4      ;            ; ;   ;T8.5:         ;10     ; ; 98.5000; 4.4000; 351.40; 8.80;1     ; ; 536; 88;       ;1812+2721;WISEP J181210.85+272144.3   ;273.04521;+27.36232
WISE   ;J181329.40+283533.3;  ;                     ; ;8      ;            ; ;   ;T8            ;8      ; ; 73.6000; 2.0000; 512.50; 3.50;237   ; ; 734; 88;       ;1813+2835;WISE J181329.40+283533.3    ;273.37250;+28.59258
WISEA  ;J181849.59-470146.9;  ;                     ; ;233    ;            ; ;   ;[T8.5]        ;233    ; ; 94.6000; 3.9000; 511.90;13.70;0     ; ; 624; 79;       ;1818-4701;WISEA J181849.59-470146.9   ;274.70707;-47.02957
2MASS  ;J18212815+1414010  ;  ;                     ; ;161    ;L4.5        ; ;161;L4~pec        ;175    ; ;106.8740; 0.2518; 335.30; 0.80;168   ; ;1613; 88;       ;1821+1414;2MASS J18212815+1414010     ;275.36732;+14.23357
WISEPA ;J182831.08+265037.8;  ;                     ; ;10     ;            ; ;   ;>=Y2          ;2      ; ;100.3000; 2.0000;1030.50; 1.10;0     ; ; 406; 88;       ;1828+2650;WISEP J182831.08+265037.8   ;277.12953;+26.84381
2MASS  ;J18283572-4849046  ;  ;                     ; ;3      ;            ; ;   ;T5.5          ;124    ; ; 87.9000; 2.0000; 250.70; 3.60;74    ; ;1060;103;       ;1828-4849;2MASS J18283572-4849046     ;277.14884;-48.81795
Gaia   ;J183118.29-073227.6;  ;                     ;f;229    ;[L0::]      ;e;229;              ;       ; ; 53.9968; 0.4015; 206.70; 1.00;168   ; ;    ;   ;       ;1831-0732;                            ;277.82621;-07.54100
CWISE  ;J183207.94-540943.3;  ;                     ; ;0      ;            ; ;   ;T7            ;0      ; ; 57.0000; 4.3000; 215.10;15.10;0     ; ; 819; 79;       ;1832-5409;CWISE J183207.94-540943.3   ;278.03329;-54.16168
Gaia   ;J183610.72+031524.6;  ;                     ;f;224    ;[L5:]       ; ;229;L6~v.~red     ;0      ; ; 54.5934; 0.8539; 311.00; 2.10;168   ; ;1606; 88;       ;1836+0315;Gaia DR2 4283084190940885888;279.04461;+03.25626
       ;J184505-635746     ;  ;SCR J1845-6357B      ; ;58     ;            ; ;   ;T6            ;63     ; ;249.9187; 0.1551;2650.60; 0.20;168   ;a; 969; 88;       ;1845-6357;SCR J1845-6357B             ;281.27279;-63.96286
WISEPA ;J185215.78+353716.3;  ;                     ; ;4      ;            ; ;   ;T7            ;4      ; ; 72.0000; 1.9000; 381.50; 1.10;1     ; ; 810; 88;       ;1852+3537;WISEP J185215.78+353716.3   ;283.06468;+35.62211
2MASS  ;J19010601+4718136  ;  ;                     ; ;3      ;            ; ;   ;T5            ;124    ; ; 67.3000; 3.4000; 423.90; 2.00;0     ; ;1064; 88;       ;1901+4718;2MASS J19010601+4718136     ;285.27508;+47.30379
WISEPA ;J190624.75+450808.2;  ;                     ; ;4      ;            ; ;   ;T6            ;4      ; ; 64.1000; 1.6000; 351.00; 0.10;1     ; ; 921; 88;       ;1906+4508;WISEP J190624.75+450808.2   ;286.60319;+45.13646
WISEP  ;J190648.47+401106.8;  ;                     ; ;162    ;            ; ;   ;L1            ;162    ; ; 59.5710; 0.1363; 473.90; 0.40;168   ; ;2135; 88;       ;1906+4011;WISEP J190648.47+401106.8   ;286.70031;+40.18572
WISE   ;J191915.54+304558.4;  ;                     ; ;20     ;            ; ;   ;L6            ;20     ; ; 62.5000; 3.3000; 569.30; 3.40;0     ; ;1308; 88;       ;1919+3045;WISE J191915.54+304558.4    ;289.81331;+30.76489
       ;J192334+331319     ;  ;Gl 758B              ; ;190    ;            ; ;   ;T7:           ;218    ; ; 64.0623; 0.0218; 180.00; 0.10;168   ;a; 581; 88;       ;1923+3313;Gl 758B                     ;290.89172;+33.22197
2MASS  ;J19251275+0700362  ;  ;                     ; ;177    ;            ; ;   ;L7            ;219    ; ; 89.2606; 0.6718; 219.80; 1.80;168   ; ;1345; 88;       ;1925+0700;2MASS J19251275+0700362     ;291.30317;+07.01010
CWISE  ;J192537.88+290159.0;  ;                     ; ;0      ;            ; ;   ;[T8.5]        ;0      ;:; 76.2000;       ; 258.40;29.40;0     ; ; 624; 79;       ;1925+2901;CWISE J192537.88+290159.0   ;291.40786;+29.03305
CWISE  ;J192636.29-342955.7;  ;                     ; ;0      ;            ; ;   ;[T5.5]        ;0      ; ; 51.6000; 3.9000; 211.30; 2.10;0     ; ;1044; 79;       ;1926-3429;CWISE J192636.29-342955.7   ;291.65108;-34.49852
WISE   ;J192841.35+235604.9;  ;                     ; ;8      ;            ; ;   ;T6            ;8      ; ;154.9000; 1.8000; 344.10; 1.00;0     ; ; 941; 88;       ;1928+2356;WISE J192841.35+235604.9    ;292.17295;+23.93394
WISEA  ;J193054.55-205949.4;  ;                     ; ;233    ;            ; ;   ;[>=Y1]        ;233    ; ;106.3000; 4.9000;1501.60;13.00;0     ; ; 367; 79;       ;1930-2059;WISEA J193054.55-205949.4   ;292.72769;-20.99698
CWISEP ;J193518.59-154620.3;  ;                     ; ;191    ;            ; ;   ;[>=Y1]        ;232    ; ; 69.3000; 3.8000; 293.40;16.30;0     ; ; 367; 79;       ;1935-1546;CWISEP J193518.59-154620.3  ;293.82753;-15.77245
WISENF ;J193656.08+040801.2;  ;                     ; ;232    ;            ; ;   ;[Y0]          ;232    ; ;113.9000; 3.8000;1182.50;16.20;0     ; ; 460; 79;       ;1936+0408;WISENF J193656.08+040801.2  ;294.23490;+04.13734
CWISE  ;J193824.10+350025.0;  ;                     ; ;0      ;            ; ;   ;[T8]          ;0      ;:; 50.7000;       ; 359.80;63.60;0     ; ; 686; 79;       ;1938+3500;CWISE J193824.10+350025.0   ;294.60042;+35.00692
WISEPA ;J195246.66+724000.8;  ;                     ; ;4      ;            ; ;   ;T4            ;4      ;:; 78.7000;       ; 410.90;99.70;0,4   ; ;1181; 79;       ;1952+7240;WISEP J195246.66+724000.8   ;298.19442;+72.66691
Gaia   ;J195557.27+321518.2;  ;                     ;f;229    ;[L6.5::]    ; ;229;              ;       ; ; 59.3427; 0.9291; 678.00; 2.10;168   ; ;1465;134;       ;1955+3215;                            ;298.98862;+32.25506
WISEPA ;J195905.66-333833.7;  ;                     ; ;4      ;            ; ;   ;T8            ;4      ; ; 83.9000; 2.0000; 200.80; 1.10;0     ; ; 710; 88;       ;1959-3338;WISEP J195905.66-333833.7   ;299.77354;-33.64207
WISE   ;J200050.19+362950.1;  ;                     ; ;18     ;            ; ;   ;T8            ;18     ; ;133.4000; 2.2000; 372.90; 1.30;0     ; ; 765; 88;       ;2000+3629;WISE J200050.19+362950.1    ;300.20907;+36.49626
2MASS  ;J20025073-0521524  ;  ;                     ; ;25     ;L5{beta}    ; ;175;L5-7{gamma}   ;175    ; ; 56.7162; 1.4818; 159.90; 4.00;168   ; ;1388;197;yng    ;2002-0521;2MASS J20025073-0521524     ;300.71130;-05.36460
       ;J200406+170413     ;  ;Gl 779B              ; ;163    ;            ; ;   ;L4.5+/-1.5    ;163    ; ; 56.4256; 0.0690; 571.20; 0.10;168   ;a;1533; 88;       ;2004+1704;Gl 779B                     ;301.02583;+17.07028
WISE   ;J200520.38+542433.9;  ;                     ; ;25     ;            ; ;   ;sdT8          ;25     ; ; 53.9000; 2.7000;1467.90; 1.40;0     ; ; 750;150;sd     ;2005+5424;WISE J200520.38+542433.9    ;301.33492;+54.40942
WISE   ;J200804.71-083428.5;  ;                     ; ;8      ;            ; ;   ;T5.5          ;8      ; ; 57.8000; 3.3000; 342.40; 1.70;0     ; ; 896; 88;       ;2008-0834;WISE J200804.71-083428.5    ;302.01876;-08.57408
CWISEP ;J201146.45-481259.7;  ;                     ; ;232    ;            ; ;   ;[Y0]          ;232    ; ; 71.0000; 3.7000; 409.30;15.20;0     ; ; 460; 79;       ;2011-4812;CWISEP J201146.45-481259.7  ;302.94291;-48.21521
WISEPA ;J201824.96-742325.9;  ;                     ; ;4      ;            ; ;   ;T7            ;4      ; ; 83.2000; 1.9000;1054.30; 1.90;1     ; ; 714; 88;       ;2018-7423;WISEP J201824.96-742325.9   ;304.60407;-74.39098
WISEA  ;J201833.67-141720.3;  ;                     ; ;233    ;            ; ;   ;[T9]          ;233    ;:; 64.9000;       ; 159.30;28.70;0     ; ; 566; 79;       ;2018-1417;WISEA J201833.67-141720.3   ;304.64015;-14.28909
WISE   ;J201920.76-114807.5;  ;                     ; ;8      ;            ; ;   ;T8:           ;8      ; ; 79.9000; 2.7000; 358.40; 1.60;0     ; ; 613; 88;       ;2019-1148;WISE J201920.76-114807.5    ;304.83653;-11.80211
WISE   ;J203042.79+074934.7;  ;                     ; ;8      ;            ; ;   ;T1.5          ;8      ; ;103.9664; 0.9809; 670.90; 2.30;168   ; ;1323; 88;       ;2030+0749;WISE J203042.79+074934.7    ;307.67638;+07.82661
       ;J204319+552053     ;  ;Gl 802B              ; ;227    ;[L5-L7]     ; ;226;              ;       ; ; 58.3160; 0.1412;1897.00; 1.00;168   ; ;1483; 88;       ;2043+5520;                            ;310.82917;+55.34806
WISEPC ;J205628.90+145953.3;  ;                     ; ;10     ;            ; ;   ;Y0            ;10     ; ;140.8000; 2.0000; 980.60; 1.10;0     ; ; 464; 88;       ;2056+1459;WISEP J205628.90+145953.3   ;314.12050;+14.99812
CWISE  ;J205701.64-170407.3;  ;                     ; ;0      ;            ; ;   ;[T8.5]        ;0      ;:; 51.0000;       ; 344.60;31.30;0     ; ; 624; 79;       ;2057-1704;CWISE J205701.64-170407.3   ;314.25656;-17.06867
DENIS-P;J205754.1-025229   ;  ;                     ; ;164    ;L1.5        ; ;115;L2{beta}      ;175    ; ; 64.4710; 0.2365; 102.30; 0.40;168   ; ;2041; 88;yng    ;2057-0252;DENIS-P J205754.1-025229    ;314.47539;-02.87507
CWISEP ;J210007.87-293139.8;  ;                     ; ;232    ;            ; ;   ;[T9.5]        ;232    ;u; 43.8000;18.0000; 425.80;53.50;0     ; ; 511; 79;[52.7] ;2100-2931;CWISEP J210007.87-293139.8  ;315.03123;-29.52720
WISE   ;J210200.15-442919.5;  ;                     ; ;2      ;            ; ;   ;T9            ;2      ; ; 92.9000; 1.9000; 356.90; 2.70;21,1  ; ; 560; 88;       ;2102-4429;WISE J210200.15-442919.5    ;315.50066;-44.48876
2MASSI ;J2104149-103736    ;  ;                     ; ;115    ;L2.5        ; ;103;L2            ;124    ; ; 58.1658; 0.4051; 664.10; 0.80;168   ; ;1994; 73;       ;2104-1037;2MASSI J2104149-103736      ;316.06235;-10.62704
WISEA  ;J211456.86-180519.0;  ;                     ; ;233    ;            ; ;   ;[T8]          ;233    ;u; 59.0000;10.7000; 654.10;34.20;0     ; ; 686; 79;[55.0] ;2114-1805;WISEA J211456.86-180519.0   ;318.73677;-18.08872
WISE   ;J211714.44-294005.2;  ;PSO J319.3102-29.6682; ;181    ;            ; ;   ;T0:           ;181    ; ; 76.1000; 3.5000; 224.80; 4.20;0     ; ;1218; 88;       ;2117-2940;WISE J211714.44-294005.2    ;319.30963;-29.66762
WISE   ;J212100.87-623921.6;  ;                     ; ;149    ;            ; ;   ;T2            ;149    ; ; 74.9000; 3.2000; 460.90; 3.50;0     ; ;1224; 88;       ;2121-6239;WISEA J212100.87-623921.6   ;320.25137;-62.65540
SDSS   ;J212413.89+010000.3;  ;                     ; ;57     ;            ; ;   ;T5            ;124    ; ; 57.0000; 3.2000; 321.50; 3.50;237   ; ;1034; 88;       ;2124+0100;SDSS J212413.89+010000.3    ;321.05783;+00.99998
2MASS  ;J21265916+7617440  ;A ;                     ; ;133    ;            ; ;   ;[L7]          ;133    ; ; 60.2775; 0.8384;1120.10; 2.30;168   ; ;1420;134;       ;2126+7617;2MASS J21265916+7617440     ;321.74644;+76.29538
2MASS  ;J21265916+7617440  ;B:;                     ; ;133    ;            ; ;   ;[T3.5]        ;133    ; ; 60.2775; 0.8384;1120.10; 2.30;168   ; ;1190; 79;       ;2126+7617;2MASS J21265916+7617440     ;321.74644;+76.29538
CWISEP ;J213249.05+690113.7;  ;                     ; ;232    ;            ; ;   ;[T8.5]        ;232    ;:; 56.2000;       ; 274.40;15.30;0     ; ; 624; 79;       ;2132+6901;CWISEP J213249.05+690113.7  ;323.20174;+69.01995
WISEPA ;J213456.73-713743.6;  ;                     ; ;4      ;            ; ;   ;T9~pec        ;4      ; ;109.7000; 3.7000;1381.40; 6.20;21,1  ; ; 481; 88;sd     ;2134-7137;WISEP J213456.73-713743.6   ;323.73640;-71.62905
